Epoch,Time(s),RAM(MB),VRAM(MB),Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_F1,Val_TPR@1FPR
1,108.1,1960,1864,0.0553,0.9807,0.0251,0.9906,0.9921,0.9972
2,108.9,2024,1864,0.0173,0.9944,0.0204,0.9931,0.9942,0.9986
3,109.2,2035,1864,0.0136,0.9958,0.0125,0.9959,0.9965,0.9968
4,108.7,2050,1864,0.0117,0.9960,0.0250,0.9928,0.9940,0.9986
5,107.7,2057,1864,0.0081,0.9973,0.0160,0.9953,0.9961,0.9995
6,108.8,2058,1864,0.0070,0.9977,0.0439,0.9915,0.9928,0.9991
7,108.6,2058,1864,0.0071,0.9980,0.0261,0.9945,0.9954,0.9982
8,109.2,2058,1864,0.0065,0.9982,0.0120,0.9959,0.9965,0.9991
9,108.9,2057,1864,0.0054,0.9982,0.0295,0.9923,0.9935,0.9991
10,109.0,2058,1864,0.0034,0.9987,0.0441,0.9926,0.9937,0.9991
11,108.7,2058,1864,0.0038,0.9989,0.0248,0.9937,0.9947,0.9986
12,107.0,2057,1864,0.0041,0.9989,0.0113,0.9972,0.9977,0.9991
13,107.4,2057,1864,0.0023,0.9993,0.0096,0.9975,0.9979,0.9995
14,108.2,2058,1864,0.0026,0.9992,0.0158,0.9961,0.9968,1.0000
15,108.5,2057,1864,0.0016,0.9996,0.0130,0.9967,0.9972,0.9995
16,108.5,2057,1864,0.0022,0.9994,0.0216,0.9950,0.9958,1.0000
17,107.7,2057,1864,0.0013,0.9997,0.0456,0.9890,0.9907,1.0000
18,106.3,2057,1864,0.0009,0.9997,0.0203,0.9964,0.9970,1.0000
