Epoch,Time(s),RAM(MB),VRAM(MB),Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_F1,Val_TPR@1FPR
1,124.2,2094,1798,0.0741,0.9742,0.0437,0.9835,0.9860,0.9977
2,124.1,2097,1798,0.0217,0.9926,0.0251,0.9898,0.9914,0.9982
3,122.5,2098,1798,0.0154,0.9953,0.0216,0.9915,0.9928,0.9991
4,123.1,2099,1798,0.0112,0.9963,0.0212,0.9923,0.9935,0.9986
5,122.4,2227,1798,0.0089,0.9971,0.0143,0.9942,0.9951,0.9991
6,126.1,2240,1798,0.0074,0.9980,0.0191,0.9915,0.9928,0.9991
7,121.7,2253,1798,0.0056,0.9982,0.0313,0.9884,0.9902,0.9982
8,122.8,2259,1798,0.0043,0.9986,0.0252,0.9909,0.9923,0.9995
9,123.8,2262,1798,0.0055,0.9984,0.0342,0.9892,0.9909,0.9977
10,125.2,2262,1798,0.0031,0.9991,0.0122,0.9953,0.9961,0.9982
11,122.6,2265,1798,0.0043,0.9984,0.0128,0.9959,0.9965,0.9995
12,123.3,2265,1798,0.0036,0.9989,0.0351,0.9901,0.9916,0.9995
13,122.7,2265,1798,0.0030,0.9990,0.0095,0.9964,0.9970,0.9995
14,122.3,2265,1798,0.0018,0.9994,0.0090,0.9964,0.9970,0.9995
15,123.1,2264,1798,0.0021,0.9994,0.0180,0.9931,0.9942,0.9986
16,120.5,2264,1798,0.0016,0.9996,0.0398,0.9890,0.9907,0.9986
17,119.6,2265,1798,0.0019,0.9993,0.0116,0.9948,0.9956,0.9995
18,114.6,2266,1798,0.0013,0.9996,0.0216,0.9937,0.9947,0.9995
19,114.9,2265,1798,0.0013,0.9996,0.0233,0.9915,0.9928,0.9995
20,119.6,2265,1798,0.0010,0.9996,0.0189,0.9945,0.9954,0.9995
21,118.7,2265,1798,0.0008,0.9997,0.0247,0.9931,0.9942,0.9991
