Epoch,Time(s),RAM(MB),VRAM(MB),Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_F1,Val_TPR@1FPR
1,138.4,1586,933,0.0765,0.9724,0.0559,0.9821,0.9848,0.9861
2,137.0,1619,933,0.0361,0.9876,0.0496,0.9868,0.9888,0.9903
3,137.1,1631,933,0.0254,0.9912,0.0441,0.9884,0.9902,0.9903
4,136.7,1630,933,0.0222,0.9928,0.0653,0.9804,0.9834,0.9898
5,148.1,1662,933,0.0189,0.9937,0.0451,0.9884,0.9902,0.9898
6,137.3,1662,933,0.0140,0.9956,0.0727,0.9804,0.9834,0.9880
7,136.5,1640,933,0.0149,0.9945,0.0302,0.9906,0.9921,0.9949
8,136.9,1661,933,0.0119,0.9958,0.0468,0.9895,0.9912,0.9917
9,137.5,1662,933,0.0111,0.9968,0.0384,0.9892,0.9909,0.9921
10,135.8,1661,933,0.0093,0.9970,0.0403,0.9909,0.9923,0.9935
11,136.8,1661,933,0.0086,0.9971,0.0343,0.9909,0.9923,0.9949
12,137.1,1661,933,0.0092,0.9973,0.0584,0.9854,0.9876,0.9926
13,136.5,1661,933,0.0064,0.9980,0.0570,0.9854,0.9876,0.9945
14,137.1,1661,933,0.0052,0.9985,0.0493,0.9887,0.9905,0.9945
15,136.5,1661,933,0.0058,0.9981,0.0571,0.9890,0.9907,0.9935
16,136.8,1661,933,0.0047,0.9985,0.0417,0.9906,0.9921,0.9958
17,136.7,1661,933,0.0038,0.9988,0.0768,0.9870,0.9890,0.9931
